Case,Sortedness,AverageExecutionTime(ms)
Sorted,1,0.335
All Same,1,0.242
First Higher,0.999,0.889
First Lower,1,0.887
First Median,0.999,0.892
Last Higher,1,1.211
Last Lower,0.999,0.373
Last Median,0.999,0.608
Unsorted,0.001,0.865
First Higher,0.001,1.071
First Lower,0.002,1.257
First Median,0.001,0.357
Last Higher,0.002,0.741
Last Lower,0.001,1.145
Last Median,0.001,0.376
Zigzag,0.499,0.116
Half Sorted,0.509,0.053
Last Higher,0.508,0.025
Last Lower,0.496,0.018
Random last median,0.488,0.018
First Lower,0.513,0.019
First Higher,0.514,0.021
First Median,0.491,0.059
3/4 Sorted,0.751,0.099
First Higher,0.75,0.075
First Lower,0.751,0.043
First Median,0.75,0.069
Last Higher,0.751,0.077
Last Lower,0.75,0.048
Last Median,0.75,0.048
Quarter sort,1,1.995
First Higher,0.249,0.212
First Lower,0.251,0.193
First Median,0.25,0.094
Last Higher,0.251,0.269
Last Lower,0.251,0.188
Last Median,0.252,0.12
